listing_id,area_type,availability,location,zone,market_status,property_type,size_bhk,society,total_sqft,bath,balcony,furnishing,facing,building_age,distance_to_major_office_km,gym_nearby,park_nearby,swimming_pool,food_delivery,has_ac,has_refrigerator,has_washing_machine,water_source,nearest_metro_station,dist_to_metro_km,legal_security_deposit,market_security_deposit,nearby_hospitals,commute_time_peak_mins,two_wheeler_parking,four_wheeler_parking,pets_allowed,dietary_preference,rent_price_inr_per_month
BLR-XPND-1000,Super built-up Area,04-May,Anekal,South,Cold,Independent House,1,Brigade,640,2,1,Semi-Furnished,North-East,10+ years,7.0,0,1,0,0,0,0,0,Cauvery + Borewell,None,15.0,13854,41562,2,37,1,0,1,Any,6927
BLR-XPND-1001,Super built-up Area,Ready To Move,Whitefield,East,Hot,Builder Floor,1,Sobha,549,1,2,Semi-Furnished,North-East,0-1 years,5.7,0,0,0,1,0,0,1,Borewell + Tanker,Kadugodi,1.0,49344,172704,10,38,3,0,0,Any,24672
BLR-XPND-1002,Built-up Area,Ready To Move,Whitefield,East,Hot,Apartment,2,Mantri,1464,2,2,Semi-Furnished,South-East,0-1 years,8.6,1,0,1,1,0,0,1,Borewell + Tanker,Kadugodi,1.0,131606,329015,9,54,1,1,1,Any,65803
BLR-XPND-1003,Super built-up Area,Ready To Move,Electronic City,South,Normal,Apartment,1,Prestige,790,1,2,Fully Furnished,South-East,10+ years,6.3,1,1,0,1,1,1,1,Cauvery + Borewell,Electronic City,0.5,45230,113075,5,33,1,0,1,Any,22615
BLR-XPND-1004,Built-up Area,Ready To Move,MG Road,Central,Hot,Builder Floor,2,Unknown,1432,2,3,Semi-Furnished,North-East,0-1 years,2.1,0,1,0,1,0,1,0,Borewell + Tanker,MG Road,0.2,212542,1062710,6,19,1,1,0,Veg Only,106271
BLR-XPND-1005,Super built-up Area,12-Apr,JP Nagar,South,Normal,Independent House,2,Standalone,1108,2,2,Unfurnished,South,0-1 years,2.1,0,1,0,1,0,0,0,Cauvery + Borewell,JP Nagar,0.8,82790,206975,1,18,2,0,0,Veg Only,41395
BLR-XPND-1006,Super built-up Area,Ready To Move,Bannerghatta Road,South,Normal,Builder Floor,3,Sobha,2316,3,1,Unfurnished,North-East,10+ years,6.3,0,0,0,1,0,0,0,Borewell,Gottigere,1.5,120642,301605,3,40,3,1,1,Veg Only,60321
BLR-XPND-1007,Carpet Area,Ready To Move,HSR Layout,South,Hot,Independent House,2,Mantri,1566,3,1,Unfurnished,North,0-1 years,4.0,0,0,0,1,0,0,0,Cauvery,Bommanahalli,1.2,146006,657027,8,31,2,0,1,Any,73003
BLR-XPND-1008,Built-up Area,Ready To Move,Malleshwaram,West,Normal,Apartment,3,Sobha,2124,4,0,Semi-Furnished,South-East,0-1 years,3.3,0,1,0,1,0,0,1,Borewell,Mantri Square,0.5,178032,623112,2,25,1,1,1,Veg Only,89016
BLR-XPND-1009,Super built-up Area,09-Mar,HSR Layout,South,Hot,Apartment,2,Prestige,1562,3,0,Semi-Furnished,South,10+ years,10.6,1,1,1,1,0,1,0,Tanker,Bommanahalli,1.2,126074,441259,7,55,2,1,1,Any,63037
BLR-XPND-1010,Carpet Area,Ready To Move,Devanahalli,North,Cold,Apartment,3,Unknown,1593,3,0,Fully Furnished,North-East,1-5 years,8.9,1,0,0,0,0,1,1,Borewell + Tanker,None,25.0,67784,305028,2,40,1,1,1,Veg Only,33892
BLR-XPND-1011,Super built-up Area,Ready To Move,Marathahalli,East,Normal,Apartment,4,Brigade,2416,4,2,Semi-Furnished,East,10+ years,3.6,1,1,0,1,0,1,1,Borewell,Kundalahalli,1.5,155270,388175,5,32,1,1,1,Any,77635
BLR-XPND-1012,Super built-up Area,Ready To Move,Sarjapur Road,East,Normal,Apartment,1,Prestige,778,1,0,Fully Furnished,North,1-5 years,3.5,1,0,0,1,1,1,1,Borewell,Silk Board,4.0,62334,218169,3,44,2,0,1,Any,31167
BLR-XPND-1013,Super built-up Area,29-Apr,Anekal,South,Cold,Builder Floor,2,Brigade,1282,3,2,Unfurnished,West,10+ years,1.0,0,1,0,0,0,0,0,Borewell,None,15.0,24464,85624,5,14,3,0,1,Any,12232
BLR-XPND-1014,Built-up Area,26-Feb,Jayanagar,South,Normal,Builder Floor,3,Brigade,1656,3,3,Semi-Furnished,South,1-5 years,4.4,0,0,0,1,0,0,0,Cauvery + Borewell,Jayanagar,0.4,136368,545472,2,23,2,0,1,Veg Only,68184
BLR-XPND-1015,Super built-up Area,14-Mar,Malleshwaram,West,Normal,Apartment,2,Mantri,1196,2,2,Semi-Furnished,South-East,5-10 years,6.8,0,0,1,1,0,1,0,Cauvery,Mantri Square,0.5,85092,382914,5,37,2,1,1,Veg Only,42546
BLR-XPND-1016,Super built-up Area,Ready To Move,Devanahalli,North,Cold,Builder Floor,1,Mantri,522,1,0,Semi-Furnished,South-East,1-5 years,7.9,0,1,0,0,0,0,0,Borewell,None,25.0,18560,55680,3,46,2,1,1,Any,9280
