size_bhk,total_sqft,bath,balcony,furnishing,building_age,distance_to_major_office_km,gym_nearby,park_nearby,swimming_pool,food_delivery,has_ac,has_refrigerator,has_washing_machine,dist_to_metro_km,legal_security_deposit,market_security_deposit,nearby_hospitals,commute_time_peak_mins,two_wheeler_parking,four_wheeler_parking,rent_price_inr_per_month,location_premium_index,availability_score,has_metro,has_2_wheeler_parking,has_4_wheeler_parking,area_type_Carpet Area,area_type_Super Built Up Area,property_type_Builder Floor,property_type_Independent House,facing_North,facing_North East,facing_South,facing_South East,facing_West,water_source_Borewell + Tanker,water_source_Cauvery,water_source_Cauvery + Borewell,water_source_Tanker,dietary_preference_Veg Only,zone_East,zone_North,zone_South,zone_West
1,640.0,2,1,1,0,7.0,0,1,0,0,0,0,0,15.0,13854,41562,2,37,1,0,6927.0,31,2,0,0,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,549.0,1,2,1,0,5.7,0,0,0,1,0,0,1,1.0,49344,172704,10,38,3,0,24672.0,33,2,1,0,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
2,1464.0,2,2,1,0,8.6,1,0,1,1,0,0,1,1.0,131606,329015,9,54,1,1,65803.0,33,2,1,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
1,790.0,1,2,2,0,6.3,1,1,0,1,1,1,1,0.5,45230,113075,5,33,1,0,22615.0,31,2,1,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2,1432.0,2,3,1,0,2.1,0,1,0,1,0,1,0,0.2,212542,1062710,6,19,1,1,106271.0,33,2,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2,1108.0,2,2,0,0,2.1,0,1,0,1,0,0,0,0.8,82790,206975,1,18,2,0,41395.0,31,2,1,1,0,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
3,2316.0,3,1,0,0,6.3,0,0,0,1,0,0,0,1.5,120642,301605,3,40,3,1,60321.0,31,2,1,0,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2,1566.0,3,1,0,0,4.0,0,0,0,1,0,0,0,1.2,146006,657027,8,31,2,0,73003.0,33,2,1,1,0,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
3,2124.0,4,0,1,0,3.3,0,1,0,1,0,0,1,0.5,178032,623112,2,25,1,1,89016.0,21,2,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2,1562.0,3,0,1,0,10.6,1,1,1,1,0,1,0,1.2,126074,441259,7,55,2,1,63037.0,33,2,1,1,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
3,1593.0,3,0,2,0,8.9,1,0,0,0,0,1,1,25.0,67784,305028,2,40,1,1,33892.0,21,2,0,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
4,2416.0,4,2,1,0,3.6,1,1,0,1,0,1,1,1.5,155270,388175,5,32,1,1,77635.0,31,2,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,778.0,1,0,2,0,3.5,1,0,0,1,1,1,1,4.0,62334,218169,3,44,2,0,31167.0,31,2,1,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2,1282.0,3,2,0,0,1.0,0,1,0,0,0,0,0,15.0,24464,85624,5,14,3,0,12232.0,31,2,0,0,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
